B00GXLQ,91.82,78.46
B00GXLR,91.69,78.86
B00GXLY,73.84,74.55
B00GXLZ,77.26,77.92
B00GXL9,76.67,76.1
B00GXLB,78.47,78.02
B00GXLH,92.84,70.6
B00GXLJ,82.63,79.75
