B00GXLQ,B00GXL9,colon,tumor,maxwell
B00GXLR,B00GXLB,colon,tumor,maxwell
B00GXLY,B00GXLH,liver,tumor,maxwell
B00GXLZ,B00GXLJ,liver,tumor,maxwell
