SRR1523243,SRR1523230
SRR1523244,SRR1523231
SRR1523245,SRR1523232
SRR1523246,SRR1523233
SRR1523247,SRR1523234
SRR1523248,SRR1523235
SRR1523249,SRR1523237
SRR1523250,SRR1523236
SRR1523251,SRR1523240
SRR1523252,SRR1523238
SRR1523253,SRR1523239
SRR1523254,SRR1523242
SRR1523255,SRR1523241
SRR1523256,SRR1523242
SRR1523257,SRR1523230
SRR1523258,SRR1523236
SRR1523259,SRR1523235
SRR1523260,SRR1523233
SRR1523261,SRR1523238
SRR1523262,SRR1523232
SRR1523263,SRR1523230
SRR1523264,SRR1523231
SRR1523265,SRR1523233
SRR1523266,SRR1523234
SRR1523267,SRR1523237
SRR1523268,SRR1523239
SRR1523269,SRR1523240
